"","x"
"1",10
"2",9.9068
"3",4.455
"4",2.0021
"5",0.8998
"6",0.4048
"7",0.183
"8",0.0857
"9",0.0515
"10",0.1809
"11",15.9056
"12",7.3679
"13",3.3116
"14",1.4882
"15",0.669
"16",0.3012
"17",0.1371
"18",0.0671
"19",0.055
"20",1.5157
"21",12.1492
"22",5.4728
"23",2.4595
"24",1.1054
"25",0.4971
"26",0.2242
"27",0.1034
"28",0.0554
"29",0.0869
"30",14.9365
"31",9.0314
"32",4.0603
"33",1.8247
"34",0.8202
"35",0.369
"36",0.1671
"37",0.0791
"38",0.0513
"39",0.3058
"40",14.7223
"41",6.6964
"42",3.0096
"43",1.3525
"44",0.6081
"45",0.2739
"46",0.1251
"47",0.0626
"48",0.0605
"49",4.003
"50",11.0196
"51",4.9583
"52",2.2283
"53",1.0015
"54",0.4504
"55",0.2034
"56",0.0944
"57",0.0532
"58",0.1184
"59",16.5502
"60",8.16
"61",3.668
"62",1.6484
"63",0.7409
"64",0.3335
"65",0.1514
"66",0.0727
"67",0.0525
"68",0.6419
"69",13.353
"70",6.0307
"71",2.7103
"72",1.2181
"73",0.5477
"74",0.2469
"75",0.1132
"76",0.0586
"77",0.0713
"78",9.9738
"79",9.8988
"80",4.4514
"81",2.0005
"82",0.8991
"83",0.4045
"84",0.1829
"85",0.0857
"86",0.0518
"87",0.1889
"88",15.7998
"89",7.303
"90",3.2824
"91",1.4751
"92",0.6631
"93",0.2986
"94",0.1359
"95",0.0667
"96",0.056
"97",1.7703
"98",11.9479
"99",5.3809
"100",2.4182
"101",1.0868
